Clave Estado,Estado,Clave Municipio,Municipio,Latitud,Longitud,Error
1,Aguascalientes,1,Aguascalientes,21.8806553,-102.2961323,
1,Aguascalientes,2,Asientos,22.1321072,-102.0952559,
1,Aguascalientes,3,Calvillo,21.8465121,-102.7185731,
1,Aguascalientes,4,Cosío,22.3705155,-102.3120085,
1,Aguascalientes,5,Jesús María,21.9345555,-102.4684517,
1,Aguascalientes,6,Pabellón De Arteaga,22.1049335,-102.3016245,
1,Aguascalientes,7,Rincón De Romos,22.2477576,-102.3492361,
1,Aguascalientes,8,San José De Gracia,22.1426267,-102.5301357,
1,Aguascalientes,9,Tepezalá,22.2435163,-102.1927212,
1,Aguascalientes,10,El Llano,21.92866955,-102.0007277,
1,Aguascalientes,11,San Francisco De Los Romo,22.02186515,-102.2517838,
1,Aguascalientes,999,No Especificado,22.0000001,-102.5000001,
2,Baja California,1,Ensenada,31.8658887,-116.6029835,
2,Baja California,2,Mexicali,32.6248622,-115.448325,
2,Baja California,3,Tecate,32.5653831,-116.6298787,
2,Baja California,4,Tijuana,32.5010188,-116.9646629,
2,Baja California,5,Playas De Rosarito,32.25812915,-116.8733072,
2,Baja California,999,No Especificado,30.0338923,-115.1425107,
3,Baja California Sur,1,Comondú,25.44713025,-111.7087132,
3,Baja California Sur,2,Mulegé,27.20305225,-113.3207274,
3,Baja California Sur,3,La Paz,24.1422841,-110.3126162,
3,Baja California Sur,8,Los Cabos,23.27184805,-109.6897684,
3,Baja California Sur,9,Loreto,26.0097913,-111.3452523,
3,Baja California Sur,999,No Especificado,25.5818014,-111.5706164,
4,Campeche,1,Calkiní,20.4806239,-90.35496193,
4,Campeche,2,Campeche,18.1449648,-91.0294971,
4,Campeche,3,Carmen,18.4525195,-91.41297388,
4,Campeche,4,Champotón,19.3439655,-90.7242742,
4,Campeche,5,Hecelchakán,20.176657,-90.133746,
4,Campeche,6,Hopelchén,19.744924,-89.845342,
4,Campeche,7,Palizada,18.2549484,-92.0907089,
4,Campeche,8,Tenabo,19.96370455,-90.18676788,
4,Campeche,9,Escárcega,18.57969185,-90.76087203,
4,Campeche,10,Calakmul,18.1073406,-89.80832804,
4,Campeche,11,Candelaria,18.16029045,-90.74447495,
4,Campeche,999,No Especificado,19.32920555,-89.94391483,
5,Coahuila De Zaragoza,1,Abasolo,27.14309625,-101.3273818,
5,Coahuila De Zaragoza,2,Acuña,29.425095,-101.9353718,
5,Coahuila De Zaragoza,3,Allende,28.3420816,-100.8517302,
5,Coahuila De Zaragoza,4,Arteaga,25.3453685,-100.6831723,
5,Coahuila De Zaragoza,5,Candela,26.8284772,-100.749837,
5,Coahuila De Zaragoza,6,Castaños,26.5419142,-101.3046396,
5,Coahuila De Zaragoza,7,Cuatro Ciénegas,26.66650175,-102.3791854,
5,Coahuila De Zaragoza,8,Escobedo,27.3054948,-101.3006207,
5,Coahuila De Zaragoza,9,Francisco I. Madero,26.23755265,-103.0996556,
5,Coahuila De Zaragoza,10,Frontera,26.95420855,-101.5536729,
5,Coahuila De Zaragoza,11,General Cepeda,25.5438609,-101.5242934,
5,Coahuila De Zaragoza,12,Guerrero,28.3093253,-100.3805564,
5,Coahuila De Zaragoza,13,Hidalgo,27.85283825,-100.0379206,
5,Coahuila De Zaragoza,14,Jiménez,29.00642,-100.8829136,
5,Coahuila De Zaragoza,15,Juárez,27.65778955,-100.6880688,
5,Coahuila De Zaragoza,16,Lamadrid,27.16452975,-101.9279978,
5,Coahuila De Zaragoza,17,Matamoros,25.5292865,-103.2319968,
5,Coahuila De Zaragoza,18,Monclova,26.8999988,-101.4171173,
5,Coahuila De Zaragoza,19,Morelos,28.33717065,-101.1183428,
5,Coahuila De Zaragoza,20,Múzquiz,28.34926665,-101.6740921,
5,Coahuila De Zaragoza,21,Nadadores,27.230653,-101.7708946,
5,Coahuila De Zaragoza,22,Nava,28.493132,-100.6429438,
5,Coahuila De Zaragoza,23,Ocampo,28.05294585,-102.9729103,
5,Coahuila De Zaragoza,24,Parras,25.591946,-102.3839713,
5,Coahuila De Zaragoza,25,Piedras Negras,28.6998135,-100.5267104,
5,Coahuila De Zaragoza,26,Progreso,27.37352345,-100.8685395,
5,Coahuila De Zaragoza,27,Ramos Arizpe,25.540787,-100.9466688,
5,Coahuila De Zaragoza,28,Sabinas,27.94246405,-101.0727813,
5,Coahuila De Zaragoza,29,Sacramento,26.91860995,-101.7612434,
5,Coahuila De Zaragoza,30,Saltillo,25.4230425,-100.9927509,
5,Coahuila De Zaragoza,31,San Buenaventura,27.84153645,-101.9366339,
5,Coahuila De Zaragoza,32,San Juan De Sabinas,28.0646267,-101.3903538,
5,Coahuila De Zaragoza,33,San Pedro,26.1249273,-102.7745628,
5,Coahuila De Zaragoza,34,Sierra Mojada,27.5836885,-103.6769298,
5,Coahuila De Zaragoza,35,Torreón,25.542698,-103.4105122,
5,Coahuila De Zaragoza,36,Viesca,25.19001795,-102.8608673,
5,Coahuila De Zaragoza,37,Villa Unión,28.0963857,-100.7978126,
5,Coahuila De Zaragoza,38,Zaragoza,28.86954205,-101.5245368,
5,Coahuila De Zaragoza,999,No Especificado,27.3333331,-102.0000001,
6,Colima,1,Armería,19.009247,-103.9813531,
6,Colima,2,Colima,19.2451909,-103.720828,
6,Colima,3,Comala,19.39542235,-103.7839632,
6,Colima,4,Coquimatlán,19.1759779,-103.9239134,
6,Colima,5,Cuauhtémoc,19.33854285,-103.5818487,
6,Colima,6,Ixtlahuacán,18.95812855,-103.6858204,
6,Colima,7,Manzanillo,19.12765695,-104.2841256,
6,Colima,8,Minatitlán,19.3731766,-104.0008293,
6,Colima,9,Tecomán,18.9031173,-103.846273,
6,Colima,10,Villa De Álvarez,19.2651417,-103.736013,
6,Colima,999,No Especificado,19.166667,-104,
7,Chiapas,1,Acacoyagua,15.4060577,-92.69729393,
7,Chiapas,2,Acala,16.52800615,-92.84589138,
7,Chiapas,3,Acapetahua,15.22240985,-92.76650699,
7,Chiapas,4,Altamirano,16.66758885,-91.87675365,
